EmployeeID,HireDate,TerminationDate,Department,JobRole,EmploymentType,Gender,AgeGroup,Education,JobSatisfaction,Performance,WorkLifeBalance,Salary
E03741,2024-02-18,,Finance,HR Specialist,Contractor,Male,Below 20,Below College,Low,Outstanding,Bad,132000.0
E04282,2024-09-05,,Finance,IT Analyst,Full-time,Male,40-50,Master,Very High,Excellent,Bad,75000.0
E01248,2021-01-28,,Finance,IT Analyst,Contractor,Female,60+,Bachelor,Medium,Excellent,Bad,67000.0
E03912,2024-02-01,2025-12-30,Finance,Sales Executive,Contractor,Female,50-60,Doctor,High,Excellent,Good,81000.0
E01516,2022-11-19,,Finance,Finance Director,Full-time,Female,60+,College,Low,Excellent,Best,114000.0
E00508,2020-01-23,,Finance,Finance Director,Full-time,Male,40-50,Below College,Low,Excellent,Bad,108000.0
E02814,2023-03-01,2023-08-24,Finance,Research Scientist,Full-time,Female,60+,Below College,High,Outstanding,Best,133000.0
E00271,2020-01-07,2022-10-29,Finance,HR Specialist,Contractor,Male,Below 20,Doctor,Very High,Good,Good,89000.0
E03586,2023-01-08,,Finance,Research Scientist,Contractor,Female,30-40,Doctor,Low,Low,Good,61000.0
E01077,2021-01-23,2025-12-23,Finance,Research Scientist,Full-time,Female,20-30,Below College,High,Excellent,Good,76000.0
E03648,2024-12-16,2025-07-24,Finance,Finance Director,Contractor,Female,50-60,College,Low,Low,Best,68000.0
E00413,2020-12-15,,Finance,Sales Executive,Contractor,Other,20-30,Bachelor,High,Good,Better,75000.0
E01595,2022-07-30,2023-08-18,Finance,Sales Executive,Contractor,Male,60+,College,Low,Low,Better,113000.0
E202500165,2025-04-29,,Finance,IT Analyst,Contractor,Male,20-30,Below College,Medium,Outstanding,Bad,69072.15162737739
E202500241,2025-06-28,,Finance,Research Scientist,Full-time,Female,20-30,Doctor,High,Outstanding,Bad,120081.8659670621
E04355,2024-08-06,,Finance,Research Scientist,Full-time,Male,50-60,Bachelor,High,Good,Good,100000.0
E02514,2023-11-21,,Finance,Sales Executive,Full-time,Male,40-50,Bachelor,Medium,Outstanding,Bad,135000.0
E03905,2024-03-23,,Finance,Research Scientist,Full-time,Male,40-50,Bachelor,Very High,Low,Good,98000.0
E04798,2024-08-13,,Finance,Research Scientist,Full-time,Male,20-30,Doctor,Medium,Low,Better,124000.0
E01926,2022-11-02,,Finance,Research Scientist,Full-time,Female,60+,Bachelor,Medium,Outstanding,Bad,138000.0
E00487,2020-10-29,,Finance,Manager,Contractor,Female,30-40,College,Medium,Low,Bad,132000.0
E02669,2023-10-15,,Finance,Finance Director,Contractor,Male,40-50,College,High,Outstanding,Bad,99000.0
E04539,2024-12-18,,Finance,Sales Executive,Contractor,Female,30-40,Master,High,Outstanding,Better,65000.0
E00725,2021-06-09,2022-02-22,Finance,Manager,Contractor,Male,50-60,College,High,Good,Bad,62000.0
E00729,2021-07-30,2021-10-19,Finance,Manager,Full-time,Female,50-60,Doctor,Low,Excellent,Bad,96000.0
E00224,2020-06-30,,Finance,IT Analyst,Full-time,Female,Below 20,College,Very High,Outstanding,Bad,108000.0
E02084,2022-11-22,,Finance,Finance Director,Full-time,Male,60+,College,Very High,Excellent,Better,98000.0
E01258,2021-08-29,,Finance,Sales Executive,Full-time,Male,60+,Master,High,Excellent,Best,63000.0
E01194,2021-06-18,2023-12-09,Finance,Sales Executive,Full-time,Male,30-40,College,High,Excellent,Better,124000.0
E00468,2020-12-21,,Finance,Manager,Contractor,Male,30-40,Bachelor,Medium,Good,Good,84000.0
E00519,2020-11-01,,Finance,Manager,Contractor,Other,30-40,Master,Low,Low,Best,104000.0
E02578,2023-03-28,,Finance,Finance Director,Contractor,Male,Below 20,Doctor,Very High,Outstanding,Good,133000.0
E01442,2022-03-22,2022-08-21,Finance,HR Specialist,Contractor,Female,20-30,Bachelor,High,Outstanding,Bad,119000.0
E02538,2023-09-26,,Finance,Sales Executive,Contractor,Female,30-40,Doctor,Medium,Outstanding,Best,103000.0
E03951,2024-03-24,2024-12-15,Finance,HR Specialist,Full-time,Female,30-40,Bachelor,Low,Low,Good,124000.0
E00134,2020-12-20,,Finance,HR Specialist,Full-time,Female,Below 20,Master,High,Good,Best,125000.0
E01617,2022-11-11,2024-01-14,Finance,Sales Executive,Full-time,Other,30-40,Bachelor,Very High,Low,Good,65000.0
E02510,2023-02-23,,Finance,Sales Executive,Full-time,Male,60+,Doctor,Low,Low,Bad,120000.0
E02118,2022-01-09,,Finance,Research Scientist,Full-time,Male,30-40,College,Medium,Excellent,Good,70000.0
E04174,2024-09-09,,Finance,Manager,Full-time,Male,60+,College,Medium,Low,Best,125000.0
E01315,2021-06-01,2022-08-15,Finance,Sales Executive,Contractor,Female,Below 20,College,Very High,Low,Best,126000.0
E04312,2024-08-08,2025-08-20,Finance,Sales Executive,Contractor,Other,30-40,Below College,High,Good,Good,125000.0
E04245,2024-01-24,2025-07-12,Finance,IT Analyst,Full-time,Female,60+,College,High,Good,Better,87000.0
E00811,2021-06-01,,Finance,Manager,Contractor,Other,50-60,College,Medium,Low,Good,100000.0
E04122,2024-07-24,,Finance,Research Scientist,Full-time,Male,20-30,Bachelor,Low,Outstanding,Better,128000.0
E01181,2021-12-15,2023-05-22,Finance,Sales Executive,Contractor,Other,50-60,Doctor,Very High,Good,Good,127000.0
E00427,2020-01-12,2021-07-05,Finance,Sales Executive,Contractor,Female,20-30,Bachelor,Very High,Low,Bad,113000.0
E02653,2023-11-28,,Finance,IT Analyst,Full-time,Female,30-40,Below College,Low,Good,Good,114000.0
E04097,2024-02-13,,Finance,HR Specialist,Contractor,Female,30-40,College,Very High,Low,Better,139000.0
E03413,2023-06-19,,Finance,IT Analyst,Full-time,Female,40-50,Doctor,Low,Low,Best,120000.0
E03589,2023-12-26,,Finance,Finance Director,Contractor,Female,60+,Below College,Medium,Excellent,Best,84000.0
E04318,2024-01-17,,Finance,IT Analyst,Contractor,Female,30-40,Below College,Very High,Low,Best,139000.0
E02595,2023-10-13,,Finance,Manager,Full-time,Female,60+,Master,Low,Low,Best,127000.0
E202500273,2025-12-05,,Finance,HR Specialist,Full-time,Female,Below 20,Below College,High,Outstanding,Best,144510.18603326264
E03837,2024-07-13,,Finance,Research Scientist,Contractor,Male,Below 20,Bachelor,High,Outstanding,Good,111000.0
E00327,2020-03-06,,Finance,Research Scientist,Contractor,Male,60+,College,Low,Good,Good,118000.0
E03333,2023-11-13,,Finance,Finance Director,Contractor,Female,40-50,Bachelor,Medium,Good,Bad,64000.0
E01295,2021-05-27,,Finance,Sales Executive,Full-time,Male,20-30,Bachelor,Low,Low,Best,96000.0
E00918,2021-01-14,2023-04-20,Finance,Research Scientist,Full-time,Other,30-40,Bachelor,Very High,Good,Best,127000.0
E02591,2023-02-15,2024-08-28,Finance,Research Scientist,Full-time,Male,30-40,Doctor,Very High,Low,Better,75000.0
E02201,2022-06-10,,Finance,IT Analyst,Contractor,Other,Below 20,Bachelor,Medium,Good,Better,133000.0
E02631,2023-03-08,,Finance,Research Scientist,Contractor,Male,60+,Below College,Medium,Excellent,Best,66000.0
E00255,2020-08-23,2021-09-10,Finance,Finance Director,Full-time,Female,20-30,Bachelor,High,Good,Good,95000.0
E02680,2023-03-07,2024-01-26,Finance,IT Analyst,Contractor,Male,30-40,Master,Very High,Outstanding,Bad,78000.0
E202500354,2025-05-12,,Finance,Finance Director,Contractor,Female,Below 20,Master,Very High,Low,Better,129563.18645790068
E02674,2023-07-11,,Finance,IT Analyst,Contractor,Female,60+,Below College,High,Excellent,Bad,83000.0
E03595,2023-12-28,2025-11-18,Finance,HR Specialist,Contractor,Male,20-30,Bachelor,Low,Outstanding,Better,130000.0
